case_id,order_index,order,N,rep,seed,estimate,error,abs_error
gaussian_strong_d5,3,3-4-2,1024,95,930096,0.5765701498736862,0.0019043748800692262,0.0019043748800692262
gaussian_strong_d5,4,4-3-2,1024,95,930096,0.577322469210015,0.0026566942163980256,0.0026566942163980256
gaussian_strong_d5,1,2-3-4,1024,96,930097,0.5765497753327108,0.0018840003390938609,0.0018840003390938609
gaussian_strong_d5,2,3-2-4,1024,96,930097,0.5772274498566488,0.0025616748630318265,0.0025616748630318265
gaussian_strong_d5,3,3-4-2,1024,96,930097,0.5772274498566488,0.0025616748630318265,0.0025616748630318265
gaussian_strong_d5,4,4-3-2,1024,96,930097,0.5765497753327108,0.0018840003390938609,0.0018840003390938609
gaussian_strong_d5,1,2-3-4,1024,97,930098,0.577053844866047,0.002388069872430121,0.002388069872430121
gaussian_strong_d5,2,3-2-4,1024,97,930098,0.576801744166982,0.0021359691733651154,0.0021359691733651154
gaussian_strong_d5,3,3-4-2,1024,97,930098,0.576801744166982,0.0021359691733651154,0.0021359691733651154
gaussian_strong_d5,4,4-3-2,1024,97,930098,0.577053844866047,0.002388069872430121,0.002388069872430121
gaussian_strong_d5,1,2-3-4,1024,98,930099,0.5754270393127766,0.0007612643191596824,0.0007612643191596824
gaussian_strong_d5,2,3-2-4,1024,98,930099,0.5753600270315093,0.0006942520378924177,0.0006942520378924177
gaussian_strong_d5,3,3-4-2,1024,98,930099,0.5753600270315093,0.0006942520378924177,0.0006942520378924177
gaussian_strong_d5,4,4-3-2,1024,98,930099,0.5754270393127766,0.0007612643191596824,0.0007612643191596824
gaussian_strong_d5,1,2-3-4,1024,99,930100,0.5749300417342347,0.0002642667406177468,0.0002642667406177468
gaussian_strong_d5,2,3-2-4,1024,99,930100,0.5757250288146101,0.0010592538209931446,0.0010592538209931446
gaussian_strong_d5,3,3-4-2,1024,99,930100,0.5757250288146101,0.0010592538209931446,0.0010592538209931446
gaussian_strong_d5,4,4-3-2,1024,99,930100,0.5749300417342347,0.0002642667406177468,0.0002642667406177468
gaussian_strong_d5,1,2-3-4,1024,100,930101,0.5717329455105342,-0.0029328294830827106,0.0029328294830827106
gaussian_strong_d5,2,3-2-4,1024,100,930101,0.5687987729171861,-0.005867002076430872,0.005867002076430872
gaussian_strong_d5,3,3-4-2,1024,100,930101,0.5687987729171861,-0.005867002076430872,0.005867002076430872
gaussian_strong_d5,4,4-3-2,1024,100,930101,0.5717329455105342,-0.0029328294830827106,0.0029328294830827106
genuine_rvine_d5,1,2-3-4,1024,1,1030002,0.15258460144679875,-0.003750877357929505,0.003750877357929505
genuine_rvine_d5,2,2-4-3,1024,1,1030002,0.15291820006096074,-0.0034172787437675156,0.0034172787437675156
genuine_rvine_d5,3,3-2-4,1024,1,1030002,0.15311864928451177,-0.0032168295202164854,0.0032168295202164854
genuine_rvine_d5,4,4-2-3,1024,1,1030002,0.15336096617221565,-0.0029745126325126103,0.0029745126325126103
genuine_rvine_d5,1,2-3-4,1024,2,1030003,0.15774190188471476,0.0014064230799865074,0.0014064230799865074
genuine_rvine_d5,2,2-4-3,1024,2,1030003,0.15723863053075496,0.0009031517260267019,0.0009031517260267019
genuine_rvine_d5,3,3-2-4,1024,2,1030003,0.15894299441046414,0.002607515605735883,0.002607515605735883
genuine_rvine_d5,4,4-2-3,1024,2,1030003,0.16198692848882815,0.005651449684099891,0.005651449684099891
genuine_rvine_d5,1,2-3-4,1024,3,1030004,0.15262923067131168,-0.0037062481334165787,0.0037062481334165787
genuine_rvine_d5,2,2-4-3,1024,3,1030004,0.15374269375299124,-0.0025927850517370177,0.0025927850517370177
genuine_rvine_d5,3,3-2-4,1024,3,1030004,0.15354818239731655,-0.00278729640741171,0.00278729640741171
genuine_rvine_d5,4,4-2-3,1024,3,1030004,0.15083629489483422,-0.00549918390989404,0.00549918390989404
genuine_rvine_d5,1,2-3-4,1024,4,1030005,0.15718403040596649,0.0008485516012382288,0.0008485516012382288
genuine_rvine_d5,2,2-4-3,1024,4,1030005,0.15690118368318515,0.0005657048784568908,0.0005657048784568908
genuine_rvine_d5,3,3-2-4,1024,4,1030005,0.1578576743952203,0.0015221955904920481,0.0015221955904920481
genuine_rvine_d5,4,4-2-3,1024,4,1030005,0.15575394431621667,-0.000581534488511587,0.000581534488511587
genuine_rvine_d5,1,2-3-4,1024,5,1030006,0.15604877018147456,-0.0002867086232536953,0.0002867086232536953
