case_id,order_index,order,N,rep,seed,estimate,error,abs_error,runtime_s
gaussian_rectangle_d5,4,4-3-2,256,23,1810024,0.1261446133706934,-1.57179544948427e-5,1.57179544948427e-5,0.001907875
gaussian_rectangle_d5,1,2-3-4,256,24,1810025,0.1261656347872991,5.303462110861634e-6,5.303462110861634e-6,0.001913584
gaussian_rectangle_d5,2,3-2-4,256,24,1810025,0.12616920141579607,8.870090607820957e-6,8.870090607820957e-6,0.001892083
gaussian_rectangle_d5,3,3-4-2,256,24,1810025,0.12619419873999851,3.386741481026245e-5,3.386741481026245e-5,0.001898917
gaussian_rectangle_d5,4,4-3-2,256,24,1810025,0.12617899878706032,1.8667461872068358e-5,1.8667461872068358e-5,0.001905708
gaussian_rectangle_d5,1,2-3-4,256,25,1810026,0.1261521588699338,-8.172455254445987e-6,8.172455254445987e-6,0.001937041
gaussian_rectangle_d5,2,3-2-4,256,25,1810026,0.12613431649912882,-2.601482605943395e-5,2.601482605943395e-5,0.001933833
gaussian_rectangle_d5,3,3-4-2,256,25,1810026,0.12613884421110869,-2.1487114079565828e-5,2.1487114079565828e-5,0.001909666
gaussian_rectangle_d5,4,4-3-2,256,25,1810026,0.1261419663557892,-1.8364969399053965e-5,1.8364969399053965e-5,0.001905125
gaussian_rectangle_d5,1,2-3-4,256,26,1810027,0.126222842210324,6.251088513575809e-5,6.251088513575809e-5,0.00190825
gaussian_rectangle_d5,2,3-2-4,256,26,1810027,0.12622508466531085,6.475334012259748e-5,6.475334012259748e-5,0.001909375
gaussian_rectangle_d5,3,3-4-2,256,26,1810027,0.12620952913073347,4.919780554521469e-5,4.919780554521469e-5,0.001885209
gaussian_rectangle_d5,4,4-3-2,256,26,1810027,0.12621231062905217,5.1979303863913806e-5,5.1979303863913806e-5,0.001885917
gaussian_rectangle_d5,1,2-3-4,256,27,1810028,0.1261711226046627,1.0791279474453574e-5,1.0791279474453574e-5,0.001911667
gaussian_rectangle_d5,2,3-2-4,256,27,1810028,0.12617152014841798,1.1188823229729694e-5,1.1188823229729694e-5,0.001891667
gaussian_rectangle_d5,3,3-4-2,256,27,1810028,0.12619553356043117,3.520223524292043e-5,3.520223524292043e-5,0.001919042
gaussian_rectangle_d5,4,4-3-2,256,27,1810028,0.1261921496522457,3.1818327057453466e-5,3.1818327057453466e-5,0.001890834
gaussian_rectangle_d5,1,2-3-4,256,28,1810029,0.12617966149035398,1.9330165165726276e-5,1.9330165165726276e-5,0.001910333
gaussian_rectangle_d5,2,3-2-4,256,28,1810029,0.12617240792389858,1.2076598710331066e-5,1.2076598710331066e-5,0.001912375
gaussian_rectangle_d5,3,3-4-2,256,28,1810029,0.12616661145861616,6.28013342790501e-6,6.28013342790501e-6,0.001899917
gaussian_rectangle_d5,4,4-3-2,256,28,1810029,0.12617639562356756,1.6064298379303565e-5,1.6064298379303565e-5,0.002934375
gaussian_rectangle_d5,1,2-3-4,256,29,1810030,0.126152843873264,-7.487451924248489e-6,7.487451924248489e-6,0.001957791
gaussian_rectangle_d5,2,3-2-4,256,29,1810030,0.12615377228939673,-6.559035791525725e-6,6.559035791525725e-6,0.00194125
gaussian_rectangle_d5,3,3-4-2,256,29,1810030,0.1261745852981637,1.4253972975442064e-5,1.4253972975442064e-5,0.001887334
gaussian_rectangle_d5,4,4-3-2,256,29,1810030,0.1261626427116103,2.3113864220380975e-6,2.3113864220380975e-6,0.001940542
gaussian_rectangle_d5,1,2-3-4,256,30,1810031,0.12614611690523952,-1.4214419948727075e-5,1.4214419948727075e-5,0.001922166
gaussian_rectangle_d5,2,3-2-4,256,30,1810031,0.12614812571098297,-1.2205614205285098e-5,1.2205614205285098e-5,0.001910917
gaussian_rectangle_d5,3,3-4-2,256,30,1810031,0.12616362639341974,3.2950682314902835e-6,3.2950682314902835e-6,0.001920125
gaussian_rectangle_d5,4,4-3-2,256,30,1810031,0.12615904707221734,-1.2842529709122807e-6,1.2842529709122807e-6,0.004867541
gaussian_rectangle_d5,1,2-3-4,1024,1,1830002,0.12616610702581144,5.775700623183999e-6,5.775700623183999e-6,0.007485584
gaussian_rectangle_d5,2,3-2-4,1024,1,1830002,0.12616714411944496,6.812794256710886e-6,6.812794256710886e-6,0.00739075
gaussian_rectangle_d5,3,3-4-2,1024,1,1830002,0.12616951878011615,9.187454927894745e-6,9.187454927894745e-6,0.007386042
gaussian_rectangle_d5,4,4-3-2,1024,1,1830002,0.12617223331283914,1.1901987650886348e-5,1.1901987650886348e-5,0.007333292
gaussian_rectangle_d5,1,2-3-4,1024,2,1830003,0.12616435719853764,4.025873349383646e-6,4.025873349383646e-6,0.007842042
gaussian_rectangle_d5,2,3-2-4,1024,2,1830003,0.12616333242893124,3.0011037429888976e-6,3.0011037429888976e-6,0.007386417
gaussian_rectangle_d5,3,3-4-2,1024,2,1830003,0.12616425328757788,3.9219623896302735e-6,3.9219623896302735e-6,0.007346792
gaussian_rectangle_d5,4,4-3-2,1024,2,1830003,0.1261654222296506,5.090904462351498e-6,5.090904462351498e-6,0.007334791
gaussian_rectangle_d5,1,2-3-4,1024,3,1830004,0.126160652433601,3.2110841274857194e-7,3.2110841274857194e-7,0.007322291
gaussian_rectangle_d5,2,3-2-4,1024,3,1830004,0.12616280462197538,2.4732967871254896e-6,2.4732967871254896e-6,0.007351583
gaussian_rectangle_d5,3,3-4-2,1024,3,1830004,0.1261596909092596,-6.404159286488298e-7,6.404159286488298e-7,0.007876833
gaussian_rectangle_d5,4,4-3-2,1024,3,1830004,0.12616241731677724,2.0859915889903657e-6,2.0859915889903657e-6,0.007417708
gaussian_rectangle_d5,1,2-3-4,1024,4,1830005,0.12615459216801211,-5.739157176137821e-6,5.739157176137821e-6,0.007365625
gaussian_rectangle_d5,2,3-2-4,1024,4,1830005,0.12615494069864422,-5.390626544032884e-6,5.390626544032884e-6,0.007339584
gaussian_rectangle_d5,3,3-4-2,1024,4,1830005,0.1261529405319015,-7.390793286765618e-6,7.390793286765618e-6,0.007735666
gaussian_rectangle_d5,4,4-3-2,1024,4,1830005,0.12615369205058913,-6.6392745991239455e-6,6.6392745991239455e-6,0.007389833
gaussian_rectangle_d5,1,2-3-4,1024,5,1830006,0.12615917986761255,-1.15145757570434e-6,1.15145757570434e-6,0.007380084
gaussian_rectangle_d5,2,3-2-4,1024,5,1830006,0.1261630030431655,2.67171797724286e-6,2.67171797724286e-6,0.007357
gaussian_rectangle_d5,3,3-4-2,1024,5,1830006,0.12616400607317477,3.6747479865151256e-6,3.6747479865151256e-6,0.007992875
gaussian_rectangle_d5,4,4-3-2,1024,5,1830006,0.12616188965531905,1.558330130796426e-6,1.558330130796426e-6,0.007422084
gaussian_rectangle_d5,1,2-3-4,1024,6,1830007,0.12615891954335703,-1.4117818312175956e-6,1.4117818312175956e-6,0.007504791
gaussian_rectangle_d5,2,3-2-4,1024,6,1830007,0.12615860795128675,-1.7233739015021232e-6,1.7233739015021232e-6,0.007727209
gaussian_rectangle_d5,3,3-4-2,1024,6,1830007,0.12616007990332795,-2.51421860303358e-7,2.51421860303358e-7,0.007315041
gaussian_rectangle_d5,4,4-3-2,1024,6,1830007,0.12616085183950113,5.205143128739209e-7,5.205143128739209e-7,0.007729917
gaussian_rectangle_d5,1,2-3-4,1024,7,1830008,0.12616010239632458,-2.2892886367142928e-7,2.2892886367142928e-7,0.007318167
gaussian_rectangle_d5,2,3-2-4,1024,7,1830008,0.12615881031317577,-1.521012012478673e-6,1.521012012478673e-6,0.007300375
gaussian_rectangle_d5,3,3-4-2,1024,7,1830008,0.126155169374669,-5.161950519250169e-6,5.161950519250169e-6,0.02369625
gaussian_rectangle_d5,4,4-3-2,1024,7,1830008,0.1261562052866991,-4.126038489149497e-6,4.126038489149497e-6,0.007539542
gaussian_rectangle_d5,1,2-3-4,1024,8,1830009,0.12615572923060386,-4.6020945843883165e-6,4.6020945843883165e-6,0.149418125
gaussian_rectangle_d5,2,3-2-4,1024,8,1830009,0.12615582003450804,-4.511290680214719e-6,4.511290680214719e-6,0.007489583
gaussian_rectangle_d5,3,3-4-2,1024,8,1830009,0.12615735057782898,-2.9807473592713407e-6,2.9807473592713407e-6,0.007392958
