event,d,N,rep,seed,method,estimate,runtime_s,bytes,allocations,hfunc_calls,hinv_calls,pair_cdf_calls
joint_lower_10pct,10,4096,3,20380908,current_indicator,0.004150390625,0.061587292,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,3,20380908,reduced_conditional,0.004402168461378112,0.143261,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,4,20380909,current_indicator,0.004150390625,0.061773916,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,4,20380909,reduced_conditional,0.004411635276954669,0.143053208,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,5,20380910,current_indicator,0.00439453125,0.061389541,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,5,20380910,reduced_conditional,0.004408198771019166,0.143469416,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,6,20380911,current_indicator,0.006103515625,0.06171975,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,6,20380911,reduced_conditional,0.004413909307833757,0.14319475,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,7,20380912,current_indicator,0.004150390625,0.061712084,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,7,20380912,reduced_conditional,0.004414079621330423,0.175360042,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,8,20380913,current_indicator,0.004150390625,0.2329275,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,8,20380913,reduced_conditional,0.004403152321179618,0.144142666,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,9,20380914,current_indicator,0.005615234375,0.064290167,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,9,20380914,reduced_conditional,0.004402522055173024,0.144521458,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,10,20380915,current_indicator,0.00390625,0.064690667,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,10,20380915,reduced_conditional,0.004407707034607508,0.142568583,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,11,20380916,current_indicator,0.005126953125,0.060681417,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,11,20380916,reduced_conditional,0.004414430764514808,0.142265084,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,12,20380917,current_indicator,0.003173828125,0.062540833,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,12,20380917,reduced_conditional,0.004407143382541526,0.142236583,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,13,20380918,current_indicator,0.0048828125,0.061606208,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,13,20380918,reduced_conditional,0.004407835104714272,0.142080333,32820032,748,360448,114688,4096
joint_lower_10pct,10,4096,14,20380919,current_indicator,0.00390625,0.062229875,44857088,4360,NaN,NaN,NaN
joint_lower_10pct,10,4096,14,20380919,reduced_conditional,0.004407856743298049,0.148729625,32820032,748,360448,114688,4096
