case_id,d,conditioning_dimension,rho,event,rule,N,rep,seed,method,estimate,reference,abs_error,generation_time_s,evaluation_time_s,total_runtime_s,generation_bytes,evaluation_bytes,generation_allocations,evaluation_allocations,hfunc_calls,hinv_calls,pair_cdf_calls
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,7,20840758,reduced_conditional,0.5556580653968815,0.5547860119171046,0.0008720534797768131,0.01033975,0.025090708,0.035430458,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,8,20840759,reduced_conditional,0.554867823109207,0.5547860119171046,8.181119210237675e-5,0.004868958,0.025060542,0.0299295,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,9,20840760,reduced_conditional,0.5529200102756489,0.5547860119171046,0.0018660016414557834,0.004979709,0.024984833,0.029964542,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,10,20840761,reduced_conditional,0.5545492062712664,0.5547860119171046,0.00023680564583827834,0.004860208,0.025009583,0.029869791,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,11,20840762,reduced_conditional,0.5548202656609237,0.5547860119171046,3.4253743819046e-5,0.009392875,0.025462584,0.034855459,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,12,20840763,reduced_conditional,0.5547012112792244,0.5547860119171046,8.48006378801891e-5,0.005012958,0.025517875,0.030530833,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,13,20840764,reduced_conditional,0.5557173362892769,0.5547860119171046,0.0009313243721722486,0.0051,0.025473334,0.030573334,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,14,20840765,reduced_conditional,0.5531409392102218,0.5547860119171046,0.0016450727068828552,0.005164625,0.025531291,0.030695916,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,15,20840766,reduced_conditional,0.555218287168912,0.5547860119171046,0.0004322752518073347,0.005779583,0.025534333,0.031313916,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,16,20840767,reduced_conditional,0.5550527720045438,0.5547860119171046,0.00026676008743919954,0.00493825,0.026058541,0.030996791000000003,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,17,20840768,reduced_conditional,0.5554035812378898,0.5547860119171046,0.0006175693207851607,0.004947291,0.025986208,0.030933499,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,18,20840769,reduced_conditional,0.5551128484739377,0.5547860119171046,0.00032683655683307666,0.005814916,0.02574975,0.031564666,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,19,20840770,reduced_conditional,0.5554780277141994,0.5547860119171046,0.0006920157970947693,0.004951,0.025933459,0.030884459,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,20,20840771,reduced_conditional,0.5544101082683845,0.5547860119171046,0.0003759036487200884,0.004967167,0.025438458,0.030405625,5657968,112,1620,2,126720,39168,256
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,21,20840772,reduced_conditional,0.5541828453876352,0.5547860119171046,0.0006031665294694566,0.005956875,0.0253325,0.031289375,5657968,112,1620,2,126720,39168,256
