case_id,rule,N,method,n,bias,rmse,median_abs_error,median_total_runtime_s,median_evaluation_time_s,p90_abs_error,complete_paired_comparison,rmse_ratio_reduced_current,runtime_ratio_reduced_current
gaussian_moderate_d5,sobol_owen,4096,current_indicator,30,0.0002518874531842704,0.0016521188887279863,0.0009765625,0.0256264375,0.0056399165,0.0026272660791192507,true,0.0019477126718224404,1.183962831353363
gaussian_moderate_d5,sobol_owen,4096,reduced_conditional,30,5.497358912874099e-7,3.2178528949327075e-6,2.504273654266309e-6,0.0303407495,0.010220625,4.578924752490776e-6,true,0.0019477126718224404,1.183962831353363
gaussian_moderate_d5,sobol_owen,16384,current_indicator,30,6.267846880927037e-5,0.0007173300565885516,0.000518798828125,0.10712754199999999,0.021685457999999998,0.0011600591613990631,true,0.001133845289140403,1.1851171522258954
gaussian_moderate_d5,sobol_owen,16384,reduced_conditional,30,1.4982613522618315e-7,8.13341305421748e-7,4.007183824206173e-7,0.1269586875,0.040809125,1.3236300183294693e-6,true,0.001133845289140403,1.1851171522258954
gaussian_moderate_d5,sobol_owen,65536,current_indicator,30,-7.511960878229621e-6,0.000219379036478977,0.00015677433469468705,0.673554875,0.0835530835,0.00036965388796156295,true,0.0009013899768521383,1.116298461947885
gaussian_moderate_d5,sobol_owen,65536,reduced_conditional,30,1.7228613168514724e-8,1.9774606461362947e-7,1.506927465450003e-7,0.751888271,0.1628554375,2.9791908551513037e-7,true,0.0009013899768521383,1.116298461947885
gaussian_strong_d20,iid_mc,256,current_indicator,30,-0.004996725292958789,0.02927476860747749,0.024788391959625455,0.026672750500000002,0.026641479000000003,0.04092446356770037,true,0.6437827561506175,0.9553273480363413
gaussian_strong_d20,iid_mc,256,reduced_conditional,30,-0.0037434179943544718,0.018846591219793436,0.01316376428041413,0.025481207999999998,0.025453457999999998,0.03146536408962828,true,0.6437827561506175,0.9553273480363413
gaussian_strong_d20,iid_mc,1024,current_indicator,30,0.00043947262370787793,0.013501357358557274,0.0087890625,0.112768604,0.112699625,0.024212255182299636,true,0.6768362011004027,0.9020789864526477
gaussian_strong_d20,iid_mc,1024,reduced_conditional,30,0.0008014390709451739,0.009138207424264872,0.005156968453664562,0.101726188,0.101656417,0.017225392096055663,true,0.6768362011004027,0.9020789864526477
gaussian_strong_d20,iid_mc,4096,current_indicator,30,-0.001342753938792122,0.006290817538835768,0.004158509147125455,0.46568145800000005,0.46544833350000003,0.009759130182299638,true,0.6090094572658202,0.8733517332785881
gaussian_strong_d20,iid_mc,4096,reduced_conditional,30,-0.0008725082985446959,0.003831167375084674,0.002409977837991212,0.40670370850000004,0.406465688,0.006463811120724711,true,0.6090094572658202,0.8733517332785881
gaussian_strong_d20,iid_mc,16384,current_indicator,30,-0.000842265657542122,0.00344693943586255,0.0019755240559995446,1.8653871450000001,1.8640455834999998,0.0054463509440004585,true,0.6344371861927166,0.8729204483715899
gaussian_strong_d20,iid_mc,16384,reduced_conditional,30,-0.00019051962500603407,0.002186866556665346,0.0016747033911490017,1.628334583,1.6274198329999998,0.004031025243275426,true,0.6344371861927166,0.8729204483715899
gaussian_strong_d20,iid_mc,65536,current_indicator,8,0.0004267569661557946,0.0022653883942763413,0.0016856070638120446,7.9462587295,7.942734146,0.003087048678381432,false,NaN,NaN
gaussian_strong_d20,iid_mc,65536,reduced_conditional,8,0.00022064582073864913,0.0011364680658655446,0.0008807236914523675,6.5201965425,6.5141232505,0.00174018652863831,false,NaN,NaN
gaussian_strong_d20,randomized_halton,256,current_indicator,30,0.0028157747070412112,0.010755907511790994,0.0078125,0.0285182085,0.0271956245,0.018180358040374545,true,0.41493687694024156,0.9423883867038844
gaussian_strong_d20,randomized_halton,256,reduced_conditional,30,0.0007159622158494471,0.004463022671600639,0.0033426136346072777,0.0268752285,0.025795083000000003,0.007073150185518053,true,0.41493687694024156,0.9423883867038844
gaussian_strong_d20,randomized_halton,1024,current_indicator,30,-0.0002766732096254554,0.005573277904874611,0.004280579459625455,0.11641206200000001,0.1133894795,0.008512389290374546,true,0.3373189833979726,0.9114939953559107
gaussian_strong_d20,randomized_halton,1024,reduced_conditional,30,-0.0005713293852321184,0.0018799724370666864,0.0009174265446443841,0.1061088955,0.1029555835,0.0032006625245957496,true,0.3373189833979726,0.9114939953559107
gaussian_strong_d20,randomized_halton,4096,current_indicator,30,-0.0003010872721254554,0.00234507520018104,0.001953125,0.46835724999999995,0.4601668755,0.0040592291927003645,true,0.46048533519006574,0.8957135103598803
gaussian_strong_d20,randomized_halton,4096,reduced_conditional,30,4.297383033650311e-5,0.0010798727396012767,0.0008295431157612776,0.41951391650000003,0.41136281249999995,0.0016968716898446816,true,0.46048533519006574,0.8957135103598803
gaussian_strong_d20,randomized_halton,16384,current_indicator,30,-9.153323566712205e-5,0.001359885466933464,0.0009541634440004554,1.860376437,1.828848583,0.0022273919010496364,true,0.3167518634927834,0.9000543337348236
