case_id,design,model,point,d,conditioning_dimension,N,method,n,reference,reference_uncertainty,reference_target_met,reference_split_half_z,reference_split_stable,reference_uncertainty_to_rmse,reference_resolved,median_abs_error,mean_abs_error,rmse,rmse_ci_low,rmse_ci_high,p90_abs_error,max_abs_error,median_runtime_s,runtime_ci_low_s,runtime_ci_high_s,median_bytes,median_allocations,median_hfunc_calls,median_hinv_calls,median_pair_cdf_calls
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,256,current_indicator,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,2.2273404948173093e-5,true,0.0031893646309478843,0.003481001382540282,0.004239673941427701,0.003358213460547388,0.005036604584932831,0.007095614630947884,0.008529385369052116,0.005661479,0.0054645005,0.005689,2.987584e6,1163.0,NaN,NaN,NaN
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,256,reduced_conditional,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,0.0005540971683871582,true,0.00011296756821816897,0.00013547202958502197,0.00017042493615425743,0.00012660109112220375,0.00021400285639954292,0.00027761532541453195,0.0004408755923927775,0.007047625,0.0070048335,0.0071823749999999995,2.245408e6,650.0,25600.0,7168.0,256.0
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,1024,current_indicator,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,3.90278058410177e-5,true,0.0016934478690521157,0.0019185013825402822,0.002419607572362921,0.001832216035362546,0.0030982385858764065,0.0036465728690521157,0.006576260369052116,0.0223080835,0.022048083500000003,0.022791687499999998,1.0885984e7,1225.0,NaN,NaN,NaN
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,1024,reduced_conditional,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,0.0018794301236883708,true,3.672874540023088e-5,4.0526272970406564e-5,5.024500424645427e-5,3.781925835820527e-5,6.238852774820253e-5,7.668466662678029e-5,0.00013310300250169924,0.0276772295,0.027588354,0.027912375,8.308544e6,700.0,102400.0,28672.0,1024.0
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,4096,current_indicator,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,8.926670844150981e-5,true,0.0008389556815521157,0.0008738755303562435,0.0010578632974633639,0.0008511581879155557,0.0012523980430580934,0.001717861931552116,0.0019686615059478843,0.09143699999999999,0.09111981250000001,0.091696146,4.2803296e7,1285.0,NaN,NaN,NaN
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,4096,reduced_conditional,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,0.005653520170034861,true,9.685525181260188e-6,1.2243068891956584e-5,1.670321705866559e-5,1.1163522785856773e-5,2.2716876743877697e-5,2.371837860517395e-5,5.58662133444722e-5,0.11289547899999999,0.11238118750000001,0.1132409585,3.2820032e7,748.0,409600.0,114688.0,4096.0
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,16384,current_indicator,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,0.00024821135593883973,true,0.00018310546875,0.00028697632112915374,0.0003804498556822867,0.000276853600716391,0.0004791648269859337,0.0006258880684478843,0.0009920990059478843,0.372941646,0.370801666,0.46545539550000004,1.73745504e8,1345.0,NaN,NaN,NaN
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,16384,reduced_conditional,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,0.024760810535461236,true,2.854358039332608e-6,3.210766343300179e-6,3.813767502093494e-6,3.084879315509103e-6,4.522031493054562e-6,5.779761948163099e-6,8.072859457624454e-6,0.45906760449999995,0.457549125,0.5482335,1.33484352e8,796.0,1.6384e6,458752.0,16384.0
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,65536,current_indicator,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,0.0005175950445694998,true,9.1552734375e-5,0.00014299804872151914,0.00018244373769879952,0.00013431428834454078,0.00022593487858193432,0.0002672509821020576,0.0004580413887603843,1.965781437,1.9164748755,1.9849335620000002,7.12452704e8,1405.0,NaN,NaN,NaN
gaussian_tail_d10,gaussian_moderate,D,lower_asymmetric,10,8,65536,reduced_conditional,30,0.028060635369052116,9.443197454563626e-8,true,0.29260632057260444,true,0.05608171699976644,true,1.0096889654157004e-6,1.3595626042956407e-6,1.6838281635711963e-6,1.2707905862089543e-6,2.0642547198663085e-6,2.422047754942897e-6,4.145360595248643e-6,2.2221467290000003,2.167458958,2.2982834795000002,5.47148608e8,844.0,6.5536e6,1.835008e6,65536.0
mixed_d10,mixed,D,asymmetric,10,8,256,current_indicator,30,0.06639476233248344,1.0671238708687628e-7,false,0.5519655481515291,true,1.9013672637876275e-5,true,0.00391773766751656,0.004686734155498895,0.005612402670397268,0.004276982554334192,0.006834536181909144,0.008191637332483445,0.01173023766751656,0.0268442915,0.026627354,0.026980999999999998,8.458384e6,250928.0,NaN,NaN,NaN
mixed_d10,mixed,D,asymmetric,10,8,256,reduced_conditional,30,0.06639476233248344,1.0671238708687628e-7,false,0.5519655481515291,true,0.00022367185914112992,true,0.0003120591418162566,0.0003941355544454591,0.00047709348639850176,0.0003749170582067699,0.000568424743244015,0.0007916060821047123,0.0009567294789056546,0.0187509585,0.0185885574875,0.018816382987499995,2.265888e6,1162.0,25600.0,7168.0,256.0
mixed_d10,mixed,D,asymmetric,10,8,1024,current_indicator,30,0.06639476233248344,1.0671238708687628e-7,false,0.5519655481515291,true,3.683251227016196e-5,true,0.001953125,0.0022150733556688747,0.0028972334633096436,0.0021249879943415514,0.0036469315857810746,0.004110752634013251,0.00684742516751656,0.10878866649999999,0.106323667,0.1101510781375,3.2761264e7,999790.0,NaN,NaN,NaN
mixed_d10,mixed,D,asymmetric,10,8,1024,reduced_conditional,30,0.06639476233248344,1.0671238708687628e-7,false,0.5519655481515291,true,0.0008183942210253363,true,8.205127585031446e-5,0.0001059111816862269,0.00013039240056360638,9.993958639284057e-5,0.00016320630527954293,0.00020210501067396137,0.00032544904643046213,0.07456279199999999,0.074283354,0.0751274225625,8.390464e6,2748.0,102400.0,28672.0,1024.0
mixed_d10,mixed,D,asymmetric,10,8,4096,current_indicator,30,0.06639476233248344,1.0671238708687628e-7,false,0.5519655481515291,true,7.446593112933784e-5,true,0.0007209342074834396,0.0010676124181688746,0.0014330363626492556,0.0010137973921312458,0.0018193481102657413,0.0022796979465132495,0.0036735970425165604,0.437262833,0.435124417,0.4395325,1.30296496e8,3.99505e6,NaN,NaN,NaN
mixed_d10,mixed,D,asymmetric,10,8,4096,reduced_conditional,30,0.06639476233248344,1.0671238708687628e-7,false,0.5519655481515291,true,0.0019242629643784577,true,4.4066451486524105e-5,4.646155067873266e-5,5.5456239122361674e-5,4.402009209295515e-5,6.593679654763127e-5,8.009489967095579e-5,0.00012229147954194441,0.3000476045,0.298608167,0.301643792,3.3147712e7,8940.0,409600.0,114688.0,4096.0
mixed_d10,mixed,D,asymmetric,10,8,16384,current_indicator,30,0.06639476233248344,1.0671238708687628e-7,false,0.5519655481515291,true,0.00015406799078985131,true,0.000518798828125,0.0005353378980866454,0.0006926317824994027,0.0004984397859351825,0.0008785062076898998,0.0011565813503617516,0.0019035775112665604,1.9246037710000001,1.9165859196000001,1.928621958,5.23710384e8,1.597591e7,NaN,NaN,NaN
