case_id,d,event,dependence,method,N_or_maxpts,replicate,seed,estimate,reference,abs_error,runtime_s,internal_error,inform,algorithm,nshifts
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,1,271828,0.12615925668658493,0.12616033132518825,1.074638603326683e-6,0.031334208,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,1,729828,0.12616088678576662,0.12616033132518825,5.554605783664179e-7,0.000752667,1.6832109740993985e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,2,271829,0.1261601732593774,0.12616033132518825,1.5806581085686666e-7,0.031162208,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,2,729829,0.12615998702809508,0.12616033132518825,3.4429709316885493e-7,0.000830667,1.934160922862695e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,2,271829,0.12548828125,0.12616033132518825,0.0006720500751882519,0.027651917,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,3,729830,0.12616024759759406,0.12616033132518825,8.372759419117415e-8,0.000726458,1.7743837419729312e-6,1,mvsort_rqmc,10
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,3,271830,0.126220703125,0.12616033132518825,6.037179981174812e-5,0.027747667,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,3,271830,0.12615997757435618,0.12616033132518825,3.5375083207167535e-7,0.031089791,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,current_indicator,4096,4,271831,0.128662109375,0.12616033132518825,0.002501778049811748,0.047223166,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,reduced_conditional,4096,4,271831,0.1261607486779731,0.12616033132518825,4.1735278485943716e-7,0.031004459,NaN,-1,,1
gaussian_rectangle_d5,5,interior,moderate,additionaldistributions,4096,4,729831,0.12615962981679424,0.12616033132518825,7.015083940131728e-7,0.000773125,1.7478095919249113e-6,1,mvsort_rqmc,10
